"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","Cap,0805","40.259mm","38.989mm","40.259mm","38.989mm","40.259mm","39.939mm","B","270.00","08055C104JAT2A"
"C2","CAP,_0805,_HD","37.846mm","38.989mm","37.846mm","38.989mm","37.846mm","37.973mm","B","90.00","AVX 08053C225KAT2A"
"C3","Cap,0805","51.816mm","38.354mm","51.816mm","38.354mm","50.866mm","38.354mm","B","360.00","CGA4J2X7R1E474K125AA"
"C4","Cap,0805","57.785mm","35.814mm","57.785mm","35.814mm","58.735mm","35.814mm","B","180.00","08055C104JAT2A"
"C5","Cap,0805","58.547mm","39.624mm","58.547mm","39.624mm","58.547mm","38.674mm","B","90.00","08055C104JAT2A"
"C6","Cap,_1206","56.007mm","39.624mm","56.007mm","39.624mm","56.007mm","41.146mm","B","270.00","C3216X7R1E106K160AB"
"FD1","FIDU-ROUND","39.25mm","34.5mm","39.25mm","34.5mm","39.25mm","34.5mm","B","180.00","Mech,FIDU-ROUND"
"FD2","FIDU-ROUND","56mm","30.75mm","56mm","30.75mm","56mm","30.75mm","B","180.00","Mech,FIDU-ROUND"
"FD3","FIDU-ROUND","55.75mm","45mm","55.75mm","45mm","55.75mm","45mm","B","180.00","Mech,FIDU-ROUND"
"J1","Header,_6_pin,_0.1"_Spaceing_-_RA","62mm","34mm","62mm","34mm","62mm","40.35mm","T","270.00","Header, through hole,vertical, 6pin,1 Row,0.1", M20-9991245"
"Logo1","Symbol,Open_Source","0mm","0mm","64.075mm","43.55mm","0mm","0mm","T","90.00","Open Source Logo"
"M1","Standoff,Hex,M3,8mm","62.865mm","48.5318mm","62.865mm","48.5318mm","62.865mm","48.5318mm","T","90.00","M3 hex Standoff"
"M2","Standoff,Hex,M3,8mm","38.1mm","29.591mm","38.1mm","29.591mm","38.1mm","29.591mm","T","90.00","M3 hex Standoff"
"R1","res,_0805,_HD","51.689mm","40.64mm","51.689mm","40.64mm","52.639mm","40.64mm","B","180.00","RC0805FR-0722K1L"
"R2","Res,1206","43.815mm","43.815mm","43.815mm","43.815mm","45.265mm","43.815mm","B","360.00","4.7O"
"R3","Res,1206","43.815mm","46.482mm","43.815mm","46.482mm","45.265mm","46.482mm","B","360.00","4.7O"
"R4","res,_0805,_HD","51.435mm","33.511mm","51.435mm","33.511mm","50.485mm","33.511mm","B","360.00","RC0805FR-0722K1L"
"R5","res,_0805,_HD","51.45mm","35.6mm","51.45mm","35.6mm","50.5mm","35.6mm","B","360.00","RC0805FR-0722K1L"
"Speaker1","Speaker,SMD,CMS-15113-076S","47.294mm","38.8798mm","50.419mm","38.8798mm","44.169mm","43.7798mm","T","270.00","CMS-15113-076S"
"U1","SOIC-8","45.466mm","38.735mm","45.466mm","38.735mm","47.866mm","40.64mm","B","180.00","IS31AP4991A-GRLS2-TR"

